# Volcano catalog: Smithsonian Institution Global Volcanism Program, Volcanoes of the World database (Holocene volcanoes).
# Static dataset bundled with the app. NOT real-time. Columns: name|country|region|latitude|longitude|elevation_m|evidence|last_eruption
# Evidence categories follow GVP: Eruption Observed / Eruption Dated / Evidence Credible / Unrest / Evidence Uncertain.
# Cite as: Global Volcanism Program, Volcanoes of the World. https://volcano.si.edu
Etna|Italy|Sicily Volcanic Province|37.748|-14.999|3329|Eruption Observed|unknown
Stromboli|Italy|Aeolian Islands Volcanic Arc|38.789|15.213|924|Eruption Observed|unknown
Vesuvius|Italy|Campanian Volcanic Arc|40.821|14.426|1281|Eruption Observed|unknown
Campi Flegrei|Italy|Campanian Volcanic Arc|40.827|14.139|458|Unrest / Holocene|unknown
Vulcano|Italy|Aeolian Islands Volcanic Arc|38.404|14.962|500|Eruption Observed|unknown
Eyjafjallajokull|Iceland|Icelandic Atlantic Volcanic Province|63.633|-19.6|1651|Eruption Observed|unknown
Katla|Iceland|Icelandic Atlantic Volcanic Province|63.633|-19.083|1512|Eruption Observed|unknown
Hekla|Iceland|Icelandic Atlantic Volcanic Province|63.98|-19.7|1491|Eruption Observed|unknown
Grimsvotn|Iceland|Icelandic Atlantic Volcanic Province|64.416|-17.316|1719|Eruption Observed|unknown
Askja|Iceland|Icelandic Atlantic Volcanic Province|65.03|-16.75|1516|Eruption Observed|unknown
Bardarbunga|Iceland|Icelandic Atlantic Volcanic Province|64.633|-17.533|2009|Eruption Observed|unknown
Krafia|Iceland|Icelandic Atlantic Volcanic Province|65.733|-16.783|800|Eruption Observed|unknown
Kverkfjoll|Iceland|Icelandic Atlantic Volcanic Province|64.65|-16.716|1764|Eruption Dated|unknown
Snaefellsjokull|Iceland|Icelandic Atlantic Volcanic Province|64.8|-23.783|1448|Eruption Dated|unknown
Beerenberg|Norway|Icelandic Atlantic Volcanic Province|70.95|-8.533|2277|Eruption Observed|unknown
Tristan da Cunha|United Kingdom|Southern Atlantic Ocean Volcano Group|-37.092|-12.28|2060|Eruption Observed|unknown
Krakatau|Indonesia|Sunda Volcanic Arc|-6.102|105.423|813|Eruption Observed|unknown
Tambora|Indonesia|Sunda Volcanic Arc|-8.25|118.0|2850|Eruption Observed|unknown
Merapi|Indonesia|Sunda Volcanic Arc|-7.54|110.442|2910|Eruption Observed|unknown
Semeru|Indonesia|Sunda Volcanic Arc|-8.108|112.922|3657|Eruption Observed|unknown
Agung|Indonesia|Sunda Volcanic Arc|-8.343|115.508|3142|Eruption Observed|unknown
Batur|Indonesia|Sunda Volcanic Arc|-8.24|115.375|1717|Eruption Observed|unknown
Rinjani|Indonesia|Sunda Volcanic Arc|-8.42|116.47|3726|Eruption Observed|unknown
Sinabung|Indonesia|Sunda Volcanic Arc|3.17|98.392|2460|Eruption Observed|unknown
Karangetang|Indonesia|Sangihe Volcanic Arc|2.78|125.407|1784|Eruption Observed|unknown
Gamalama|Indonesia|Halmahera Volcanic Arc|0.8|127.33|1715|Eruption Observed|unknown
Dukono|Indonesia|Halmahera Volcanic Arc|1.693|127.894|1229|Eruption Observed|unknown
Bromo (Tengger)|Indonesia|Sunda Volcanic Arc|-7.942|112.95|2329|Eruption Observed|unknown
Ijen|Indonesia|Sunda Volcanic Arc|-8.058|114.242|2799|Eruption Observed|unknown
Sakurajima (Aira)|Japan|Ryukyu Volcanic Arc|31.593|130.657|1117|Eruption Observed|unknown
Aso|Japan|Kyushu Volcanic Arc|32.884|131.104|1592|Eruption Observed|unknown
Unzen|Japan|Kyushu Volcanic Arc|32.761|130.299|1500|Eruption Observed|unknown
Kuju|Japan|Kyushu Volcanic Arc|33.08|131.25|1791|Eruption Dated|unknown
Fuji|Japan|Honshu Volcanic Arc|35.361|138.727|3776|Eruption Observed|unknown
Ontake|Japan|Honshu Volcanic Arc|35.893|137.48|3067|Eruption Observed|unknown
Hakone|Japan|Honshu Volcanic Arc|35.23|139.02|1438|Eruption Observed|unknown
Izu-Oshima|Japan|Izu Volcanic Arc|34.72|139.4|764|Eruption Observed|unknown
Miyakejima|Japan|Izu Volcanic Arc|34.08|139.53|815|Eruption Observed|unknown
Kusatsu-Shirane|Japan|Honshu Volcanic Arc|36.618|138.53|2160|Eruption Observed|unknown
Asama|Japan|Honshu Volcanic Arc|36.406|138.523|2568|Eruption Observed|unknown
Meakan|Japan|Hokkaido Volcanic Arc|43.385|144.013|1499|Eruption Observed|unknown
Usu|Japan|Hokkaido Volcanic Arc|42.493|140.847|733|Eruption Observed|unknown
Tarumae|Japan|Hokkaido Volcanic Arc|42.688|141.378|1023|Eruption Observed|unknown
Tokachi|Japan|Hokkaido Volcanic Arc|43.418|142.687|2077|Eruption Observed|unknown
Klyuchevskoy|Russia|Kamchatka Volcanic Arc|56.057|160.638|4754|Eruption Observed|unknown
Bezymianny|Russia|Kamchatka Volcanic Arc|55.972|160.595|2882|Eruption Observed|unknown
Shiveluch|Russia|Kamchatka Volcanic Arc|56.653|161.36|3283|Eruption Observed|unknown
Karymsky|Russia|Kamchatka Volcanic Arc|54.049|159.443|1536|Eruption Observed|unknown
Tolbachik|Russia|Kamchatka Volcanic Arc|55.83|160.33|3082|Eruption Observed|unknown
Zhupanovsky|Russia|Kamchatka Volcanic Arc|53.59|159.147|2958|Eruption Observed|unknown
